The binary number in column 1 represents the coefficients taken , 1 => +1 coefficient, 0 => -1 coefficient 
 Coefficients     Steps to walk till sign change     Evaluated value(sorted)
********************************************************************************
For n = 2
01011011     1     2.554233301012982 
01111000     1     2.586259881465797 
11001100     1     2.6534404449274134 
10010111     1     2.705242740663385 
10110100     1     2.737269321116199 
11010100     1     3.0459635814902395 
11100010     1     3.070981939835992 
10011011     1     3.132086271230161 
01100111     1     3.1604424686537844 
10111000     1     3.164112851682975 
00111101     1     3.2535733805007667 
11011000     1     3.4728071120570156 
01011101     1     3.562267640874808 
01101011     1     3.5872859992205606 
10100111     1     3.7382954388709626 
00111110     1     3.8892478708923304 
01110011     1     3.9798091357833862 
11000111     1     4.046989699245003 
11100100     1     4.079016279697817 
10011101     1     4.140120611091986 
10101011     1     4.165138969437739 
01011110     1     4.197942131266371 
11001011     1     4.473833229811779 
11101000     1     4.505859810264593 
10110011     1     4.557662106000565 
01101101     1     4.5953203390823845 
10011110     1     4.775795101483551 
11010011     1     4.866356366374605 
11110000     1     4.898382946827419 
01110101     1     4.98784347564521 
10101101     1     5.173173309299564 
01101110     1     5.230994829473948 
01111001     1     5.414687006211986 
11001101     1     5.481867569673605 
10110101     1     5.56569644586239 
01110110     1     5.623517966036774 
10101110     1     5.808847799691128 
11010101     1     5.87439070623643 
11100011     1     5.899409064582183 
10111001     1     5.992539976429166 
01111010     1     6.05036149660355 
11001110     1     6.117542060065168 
10110110     1     6.201370936253953 
11011001     1     6.301234236803206 
11010110     1     6.510065196627994 
10111010     1     6.6282144668207295 
00111111     2     6.7176749956385216 
11100101     1     6.907443404444008 
11011010     1     6.93690872719477 
01011111     2     7.026369256012561 
01111100     2     7.058395836465376 
11101001     2     7.334286935010784 
11100110     2     7.5431178948355715 
10011111     2     7.604222226229741 
10111100     2     7.636248806682556 
11110001     2     7.72681007157361 
11011100     2     7.944943067056595 
11101010     2     7.969961425402348 
01101111     2     8.05942195422014 
11110010     2     8.362484561965173 
01110111     2     8.451945090782965 
10101111     2     8.63727492443732 
