The binary number in column 1 represents the coefficients taken , 1 => +1 coefficient, 0 => -1 coefficient 
 Coefficients     Steps till sign change    Evaluated value    Traced
********************************************************************************
For n = 2
01101011     1     3.5872859992205606    01101011 => 01100011
01101100     1     1.766893214336195    01101100 => 01101000
01101101     1     4.5953203390823845    01101101 => 01100101
01101110     1     5.230994829473948    01101110 => 01001110
01101111     2     8.05942195422014    01101111 => 01101110 => 01001110
01110001     1     0.515707520645631    01110001 => 01110000
01110010     1     1.1513820110371946    01110010 => 01110000
01110011     1     3.9798091357833862    01110011 => 01100011
01110100     1     2.1594163508990207    01110100 => 01110000
01110101     1     4.98784347564521    01110101 => 01100101
01110110     1     5.623517966036774    01110110 => 01010110
01110111     2     8.451945090782965    01110111 => 01110110 => 01010110
01111000     1     2.586259881465797    01111000 => 01110000
01111001     1     5.414687006211986    01111001 => 01011001
01111010     1     6.05036149660355    01111010 => 01011010
01111011     2     8.878788621349742    01111011 => 01110011 => 01100011
01111100     2     7.058395836465376    01111100 => 01111000 => 01110000
01111101     2     9.886822961211566    01111101 => 01111001 => 01011001
01111110     2     10.52249745160313    01111110 => 01111010 => 01011010
01111111     3     13.35092457634932    01111111 => 01111110 => 01111010 => 01011010
10001111     1     2.3127196041005593    10001111 => 10001110
10010111     1     2.705242740663385    10010111 => 10010110
10011010     1     0.3036591464839704    10011010 => 10011000
10011011     1     3.132086271230161    10011011 => 10011001
10011100     1     1.3116934863457956    10011100 => 10011000
10011101     1     4.140120611091986    10011101 => 10011001
10011110     1     4.775795101483551    10011110 => 10010110
10011111     2     7.604222226229741    10011111 => 10011110 => 10010110
10100101     1     0.2741938237332082    10100101 => 10100100
10100110     1     0.9098683141247719    10100110 => 10100100
10100111     1     3.7382954388709626    10100111 => 10100011
10101001     1     0.7010373542999844    10101001 => 10101000
10101010     1     1.336711844691548    10101010 => 10101000
10101011     1     4.165138969437739    10101011 => 10100011
10101100     1     2.3447461845533732    10101100 => 10101000
10101101     1     5.173173309299564    10101101 => 10001101
10101110     1     5.808847799691128    10101110 => 10001110
10101111     2     8.63727492443732    10101111 => 10101110 => 10001110
10110001     1     1.09356049086281    10110001 => 10110000
10110010     1     1.7292349812543737    10110010 => 10110000
10110011     1     4.557662106000565    10110011 => 10100011
10110100     1     2.737269321116199    10110100 => 10110000
10110101     1     5.56569644586239    10110101 => 10010101
10110110     1     6.201370936253953    10110110 => 10010110
10110111     2     9.029798061000145    10110111 => 10110110 => 10010110
10111000     1     3.164112851682975    10111000 => 10110000
10111001     1     5.992539976429166    10111001 => 10011001
10111010     1     6.6282144668207295    10111010 => 00111010
10111011     2     9.456641591566921    10111011 => 10110011 => 10100011
10111100     2     7.636248806682556    10111100 => 10111000 => 10110000
10111101     2     10.464675931428745    10111101 => 10111001 => 10011001
10111110     2     11.100350421820309    10111110 => 10111010 => 00111010
10111111     3     13.9287775465665    10111111 => 10111110 => 10111010 => 00111010
11000101     1     0.5828880841072492    11000101 => 11000100
11000110     1     1.218562574498813    11000110 => 11000100
11000111     1     4.046989699245003    11000111 => 11000011
11001001     1     1.0097316146740254    11001001 => 11001000
11001010     1     1.645406105065589    11001010 => 11001000
11001011     1     4.473833229811779    11001011 => 11000011
11001100     1     2.6534404449274134    11001100 => 11001000
11001101     1     5.481867569673605    11001101 => 10001101
11001110     1     6.117542060065168    11001110 => 10001110
11001111     2     8.945969184811359    11001111 => 11001110 => 10001110
11010001     1     1.402254751236851    11010001 => 11010000
11010010     1     2.0379292416284147    11010010 => 11010000
11010011     1     4.866356366374605    11010011 => 11000011
11010100     1     3.0459635814902395    11010100 => 11010000
11010101     1     5.87439070623643    11010101 => 10010101
11010110     1     6.510065196627994    11010110 => 10010110
11010111     2     9.338492321374185    11010111 => 11010110 => 10010110
11011000     1     3.4728071120570156    11011000 => 11010000
11011001     1     6.301234236803206    11011001 => 10011001
11011010     1     6.93690872719477    11011010 => 01011010
11011011     2     9.76533585194096    11011011 => 11011010 => 01011010
11011100     2     7.944943067056595    11011100 => 11011000 => 11010000
11011101     2     10.773370191802787    11011101 => 11011001 => 10011001
11011110     2     11.40904468219435    11011110 => 11011010 => 01011010
11011111     3     14.23747180694054    11011111 => 11011011 => 11011010 => 01011010
11100001     1     2.435307449444428    11100001 => 11100000
11100010     1     3.070981939835992    11100010 => 11100000
11100011     1     5.899409064582183    11100011 => 11000011
11100100     1     4.079016279697817    11100100 => 11100000
11100101     1     6.907443404444008    11100101 => 01100101
11100110     2     7.5431178948355715    11100110 => 11100100 => 11100000
11100111     2     10.371545019581763    11100111 => 11100101 => 01100101
11101000     1     4.505859810264593    11101000 => 11100000
11101001     2     7.334286935010784    11101001 => 11100001 => 11100000
11101010     2     7.969961425402348    11101010 => 11101000 => 11100000
11101011     2     10.79838855014854    11101011 => 11100011 => 11000011
11101100     2     8.977995765264174    11101100 => 11101000 => 11100000
11101101     2     11.806422890010364    11101101 => 11001101 => 10001101
11101110     2     12.442097380401927    11101110 => 11001110 => 10001110
11101111     3     15.270524505148119    11101111 => 11101011 => 11100011 => 11000011
11110000     1     4.898382946827419    11110000 => 11100000
11110001     2     7.72681007157361    11110001 => 11100001 => 11100000
11110010     2     8.362484561965173    11110010 => 11110000 => 11100000
11110011     2     11.190911686711365    11110011 => 11100011 => 11000011
11110100     2     9.370518901827    11110100 => 11100100 => 11100000
11110101     2     12.19894602657319    11110101 => 11100101 => 01100101
11110110     2     12.834620516964753    11110110 => 11010110 => 10010110
11110111     3     15.663047641710945    11110111 => 11100111 => 11100101 => 01100101
11111000     2     9.797362432393776    11111000 => 11110000 => 11100000
11111001     2     12.625789557139965    11111001 => 11011001 => 10011001
11111010     2     13.261464047531529    11111010 => 11011010 => 01011010
11111011     3     16.08989117227772    11111011 => 11110011 => 11100011 => 11000011
11111100     3     14.269498387393355    11111100 => 11111000 => 11110000 => 11100000
11111101     3     17.097925512139543    11111101 => 11111001 => 11011001 => 10011001
11111110     3     17.73360000253111    11111110 => 11111010 => 11011010 => 01011010
11111111     4     20.562027127277297    11111111 => 11111110 => 11111010 => 11011010 => 01011010
